domain,state_source,scope,quota_per_lineage_manifest,validation_instances,sampling_rule,sampling_seed,trajectory_actor,maximum_steps,paired_analysis_role
drone,common_planner,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,one nonterminal interior state per instance then five extra states chosen by sha256(domain+instance+source+seed),31001,ENHSP-hadd-astar,10000,primary paired Stage1-to-Stage2
drone,common_random_legal,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,seeded legal random walk with duplicate physical states removed and deterministic sha256 tie ordering,31002,uniform-applicable-action,50,primary paired Stage1-to-Stage2
drone,stage1_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+101,frozen Stage1 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
drone,stage2_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+102,frozen Stage2 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
fo_counters,common_planner,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,one nonterminal interior state per instance then five extra states chosen by sha256(domain+instance+source+seed),32001,ENHSP-hmrmax-astar,10000,primary paired Stage1-to-Stage2
fo_counters,common_random_legal,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,seeded legal random walk with duplicate physical states removed and deterministic sha256 tie ordering,32002,uniform-applicable-action,100,primary paired Stage1-to-Stage2
fo_counters,stage1_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+101,frozen Stage1 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
fo_counters,stage2_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+102,frozen Stage2 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
rover,common_planner,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,one nonterminal interior state per instance then five extra states chosen by sha256(domain+instance+source+seed),33001,ENHSP-hmrp-ha-gbfs,10000,primary paired Stage1-to-Stage2
rover,common_random_legal,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,seeded legal random walk with duplicate physical states removed and deterministic sha256 tie ordering,33002,uniform-applicable-action,100,primary paired Stage1-to-Stage2
rover,stage1_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+101,frozen Stage1 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
rover,stage2_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+102,frozen Stage2 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
mprime,common_planner,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,one nonterminal interior state per instance then five extra states chosen by sha256(domain+instance+source+seed),34001,ENHSP-hmrp-ha-gbfs,10000,primary paired Stage1-to-Stage2
mprime,common_random_legal,shared_lineage_core,20,easy:pfile0-6;medium:pfile0-6;hard:pfile0-5,seeded legal random walk with duplicate physical states removed and deterministic sha256 tie ordering,34002,uniform-applicable-action,100,primary paired Stage1-to-Stage2
mprime,stage1_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+101,frozen Stage1 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
mprime,stage2_on_policy,shared_lineage_supplement,10,easy:pfile0-3;medium:pfile0-2;hard:pfile0-2,deterministic policy argmax trajectory with stable action-ID ties and sha256-selected nonterminal step,lineage_seed+102,frozen Stage2 VH-on checkpoint,10000,source-stratified paired distribution-sensitivity
