snapshot,experiment,state,jobs,cpus,ram_gib,progress,next_gate
2026-08-31T20:13:25+03:00,ALL,running,76,456,6128,"exact expanded-task Slurm count",""
2026-08-31T20:13:25+03:00,ALL,ordinary_or_dependency_pending,76,428,4159,"exact expanded-task Slurm count",""
2026-08-31T20:13:25+03:00,ALL,held,58,340,4130,"exact expanded-task Slurm count",""
2026-08-31T20:13:25+03:00,MAIN-VAL-S2-MCTS,running,7,42,840,"8/16 new gap jobs terminal plus four historical rows","one additional job is memory-pending"
2026-08-31T20:13:25+03:00,MAIN-VAL-S2-MCTS,pending,1,6,120,"","finish all twenty matched rows"
2026-08-31T20:13:25+03:00,MCTS-PW-CROSS-DOMAIN,running,9,54,1080,"11/20 terminal after Counters Stage2/on seed 2011206605 completed 12/59","finish remaining mixed PW20/PW70 screen"
2026-08-31T20:13:25+03:00,MCTS-PW70-CROSS-DOMAIN,pending,12,72,1440,"0/12 terminal","wait for 120-GiB slots"
2026-08-31T20:13:25+03:00,MCTS-HORIZON-COUNTERS,pending,8,48,960,"0/8 terminal","wait for 120-GiB slots"
2026-08-31T20:13:25+03:00,MCTS-RESOURCE-ROVER,running,20,120,2400,"twenty terminal-led endpoints remain; extra validation-led job 20559495 is terminal OOM with a complete 4/20 result","finish timeout-heavy waves"
2026-08-31T20:13:25+03:00,MPRIME-ANCHOR-CORRECTED-VAL,running,4,24,80,"at least 19 corrected checkpoint summaries visible","complete all 588 checkpoint/coefficient points"
2026-08-31T20:13:25+03:00,MPRIME-ANCHOR-CORRECTED-VAL,pending,24,144,480,"","manually review per-VH AUC peak and final before coefficient freeze"
2026-08-31T20:13:25+03:00,PRESERVE-3-TERM,running,35,210,1680,"1/60 terminal: Delivery/off seed 2082152039 completed in 14:14:48","cell-specific policy controllers follow each complete domain/VH cell"
2026-08-31T20:13:25+03:00,PRESERVE-3-TERM,pending,24,144,1152,"","ordinary memory-pending"
2026-08-31T20:13:25+03:00,PRESERVE-TPP-S2,running,1,6,48,"15/16 held-out lineages terminal","job 20684890 reaches 72h at 23:26:41 IDT; controller 20743985 follows"
2026-08-31T20:13:25+03:00,DEPENDENCY-CONTROLLERS,pending,7,14,7,"six PRESERVE-3 per-cell controllers plus one validation-led TPP controller","dependencies only"
2026-08-31T20:13:25+03:00,MPRIME-STAGE2,held,38,220,1730,"16 validation-led training plus controller; 20 terminal-led training plus controller","do not release until corrected coefficient review"
2026-08-31T20:13:25+03:00,MCTS-RESOURCE-FO,held,20,120,2400,"obsolete three-worker 120-GiB form","replace later with lifecycle-safe two-worker 160-GiB continuation"
