snapshot,experiment,state,jobs,cpus,ram_gib,evidence,next_action
2026-09-01T10:22:22+03:00,PRESERVE-3-TERM training,running,40,240,1920,"20/60 training lineages terminal: Delivery off 4 on 2; TPP off/on 0; Zenotravel off 10 on 4","cell-specific policy controllers already dependency-gated"
2026-09-01T10:22:22+03:00,PRESERVE-3-TERM policy,running,4,40,80,"Zenotravel/off policy rows; 204 of 209 have left the live queue","finish the last five rows"
2026-09-01T10:22:22+03:00,PRESERVE-3-TERM policy,operationally-held,1,10,20,"job 20812836 requeued held after user-environment retrieval failure","inspect/release after the transient environment condition clears"
2026-09-01T10:22:22+03:00,PRESERVE-3-TERM controllers,dependency-pending,5,10,5,"one controller for each unfinished domain/VH cell","automatic release on each cell dependency"
2026-09-01T10:22:22+03:00,MCTS-PW70-CROSS-DOMAIN,running,12,72,1440,"all twelve correction jobs active; current lower bounds in comparative_summary_20260901_1022.csv","finish and VAL-confirm"
2026-09-01T10:22:22+03:00,MCTS-HORIZON-COUNTERS,running,8,48,960,"all four matched aware/unaware pairs active; zero nonzero cutoff records so far","finish and require actual cutoff evidence"
2026-09-01T10:22:22+03:00,MAIN-VAL-S2-MCTS,running,1,6,120,"19/20 Drone rows terminal; final VH-on seed is processing instance 19","finish and recompute the ten-seed paired result"
2026-09-01T10:22:22+03:00,MCTS-LEGACY-ROVER,running,2,12,240,"18th allocation ended OOM with retry-duplicated plans and is not yet aggregate-ready; two jobs remain active","deduplicating post-hoc VAL for 20559583; finish two active rows"
2026-09-01T10:22:22+03:00,MAIN-EXT6-MPRIME and MAIN-TERM-EXT6-MPRIME,deliberately-held,38,220,1730,"36 Stage-2 training jobs and two controllers held behind corrected coefficient freeze","recover 48 missing corrected validation points and manually freeze one coefficient per VH"
2026-09-01T10:22:22+03:00,MCTS-LEGACY-FO-COUNTERS,deliberately-held,20,120,2400,"legacy Stage-2 endpoint MCTS remains held","release only when prioritized or replace with lifecycle-safe resource continuation"
2026-09-01T10:22:22+03:00,ALL,running,67,418,4760,"exact live allocation total",""
2026-09-01T10:22:22+03:00,ALL,ordinary-pending,0,0,0,"no ordinary scheduler/resource-pending jobs",""
2026-09-01T10:22:22+03:00,ALL,dependency-pending,5,10,5,"five cell-specific policy controllers",""
2026-09-01T10:22:22+03:00,ALL,operationally-held,1,10,20,"one requeued Zenotravel policy job",""
2026-09-01T10:22:22+03:00,ALL,deliberately-held,58,340,4130,"38 MPrime plus 20 FO Counters",""
2026-09-01T10:22:22+03:00,ALL,completing,0,0,0,"no completing jobs",""
