snapshot_time_idt,domain,value_head,validation_scheduler_terminal,validation_live,validation_unsubmitted,terminal_scheduler_terminal,terminal_live,terminal_unsubmitted,search,scientific_status,row_level_provenance
2026-09-14T00:00:58+03:00,block_grouping,off,10,0,0,,,,narrow5/20,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,block_grouping,on,10,0,0,,,,narrow5/20,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,drone,off,10,0,0,,,,normal20/70,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,drone,on,10,0,0,,,,normal20/70,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,fo_counters,off,10,0,0,,,,normal20/70,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,fo_counters,on,10,0,0,,,,normal20/70,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,rover,off,10,0,0,,,,normal20/70,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,rover,on,10,0,0,,,,normal20/70,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,counters,off,10,0,0,,,,narrow5/20,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
2026-09-14T00:00:58+03:00,counters,on,10,0,0,,,,narrow5/20,validation-led primary complete; terminal-led columns archived and not maintained,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv;experiment_tracking/result_csv_provenance_index_latest.csv
